2018/8/9,'000300,3397.5298,3408.3911,3299.6157,3303.4765,3314.5075,2.5048,91957572
2018/8/8,'000300,3314.5075,3368.1602,3311.7694,3362.1485,3368.8695,-1.6137,79284865
2018/8/7,'000300,3368.8695,3368.962,3263.4986,3284.9785,3273.2728,2.9205,91783916
2018/8/6,'000300,3273.2728,3344.246,3257.6856,3312.8153,3315.2839,-1.2672,77975083
2018/8/3,'000300,3315.2839,3381.3417,3315.2008,3366.6637,3370.9579,-1.6516,70796910
2018/8/2,'000300,3370.9579,3434.3516,3322.096,3434.3516,3447.3882,-2.217,101308727
2018/8/1,'000300,3447.3882,3543.606,3446.7765,3530.0298,3517.6568,-1.9976,90348617
2018/7/31,'000300,3517.6568,3528.154,3493.1545,3510.4744,3515.0794,0.0733,67980817
2018/7/30,'000300,3515.0794,3550.902,3489.5494,3520.8538,3521.2269,-0.1746,82116995
2018/7/27,'000300,3521.2269,3545.4058,3512.7034,3533.7714,3536.2456,-0.4247,70178104
2018/7/26,'000300,3536.2456,3593.9227,3528.6442,3583.3173,3577.7522,-1.1601,90349641
2018/7/25,'000300,3577.7522,3589.9841,3566.314,3589.5055,3581.7057,-0.1104,96758501
2018/7/24,'000300,3581.7057,3596.5128,3530.6641,3530.6641,3525.7503,1.587,156912435
2018/7/23,'000300,3525.7503,3527.5335,3464.6475,3471.8555,3492.8938,0.9407,119036627
2018/7/20,'000300,3492.8938,3505.928,3398.9532,3426.4558,3428.343,1.8829,101984727
2018/7/19,'000300,3428.343,3466.5056,3417.9627,3444.8032,3431.3227,-0.0868,68477716
2018/7/18,'000300,3431.3227,3479.2635,3430.1563,3456.6065,3449.3773,-0.5234,66530330
2018/7/17,'000300,3449.3773,3467.1852,3420.9714,3466.4236,3472.0859,-0.654,61983076
2018/7/16,'000300,3472.0859,3506.2355,3459.7312,3488.967,3492.6897,-0.5899,68281999
2018/7/13,'000300,3492.6897,3499.7643,3474.9123,3488.4966,3481.0559,0.3342,72955897
2018/7/12,'000300,3481.0559,3499.097,3403.3302,3403.3302,3407.5297,2.1578,96353564
2018/7/11,'000300,3407.5297,3427.5705,3375.1441,3398.9265,3467.5155,-1.7299,72040950
2018/7/10,'000300,3467.5155,3474.1396,3437.2706,3464.9064,3459.1837,0.2409,69548823
2018/7/9,'000300,3459.1837,3459.3153,3378.9056,3378.9056,3365.1227,2.7952,76601545
2018/7/6,'000300,3365.1227,3396.2458,3295.7296,3347.0624,3342.4379,0.6787,86097579
